ID,Name,Type,URL,DateAdded
46,数据恢复,url,http://hf.jk2245.com/,2022-03-09T08:00:57.166034+08:00
44,淘宝,url,http://tb.jk2245.com/,2022-02-15T02:40:27.162963+08:00
36,学习办公,url,http://wk.jk2245.com/,2021-12-30T10:06:16+08:00
42,游戏娱乐,url,http://yx.jk2245.com/,2021-12-30T10:05:38+08:00
40,影视大全,url,http://movie.jk2245.com/,2021-12-30T10:05:24+08:00
33,系统装机大师,url,http://jkg.jk2245.com/,2021-12-30T10:05:16+08:00
37,网址导航,url,http://2345.jk2245.com/,2021-12-30T10:05:08+08:00
39,头条新闻,url,http://news.jk2245.com/,2021-12-30T10:05:00+08:00
34,天猫,url,http://tm.jk2245.com/,2021-12-30T10:04:54+08:00
41,热门小说,url,http://novel.jk2245.com/,2021-12-30T10:04:42+08:00
35,京东,url,http://jd.jk2245.com/,2021-12-30T10:04:36+08:00
38,百度搜索,url,http://bd.jk2245.com/,2021-12-30T10:04:06+08:00
3,移动收藏夹,folder,,2020-05-28T10:02:35.175499+08:00
2,其他收藏夹,folder,,2020-05-28T10:02:35.175498+08:00
1,收藏夹栏,folder,,2020-05-28T10:02:35.175483+08:00
